metric,buy_hold,gc_gross,gc_net_tx
ann_mu,0.7770894515994228,0.7713655458319377,0.770788886793036
ann_sigma,0.5303816256942797,0.47327715153047956,0.47328010101178114
sharpe,1.4651515323182582,1.6298389713881232,1.6286103834605317
max_drawdown,-0.6633508014086994,-0.37554041740558136,-0.3755404174055815
mean_daily,0.0030836882999977096,0.003060974388221975,0.003058686058702524
mean_daily_lo,0.001273447340830013,0.0014456362180559328,0.001443337821687247
mean_daily_hi,0.004893929259165406,0.004676312558388017,0.004674034295717801
median,0.0032094242700035913,0.0,0.0
IQR,0.03755676690179288,0.027624372957496812,0.027624372957496812
t_stat,,,-0.020216522717459513
t_p,,,0.9838722065647802
u_stat,,,852629.0
u_p,,,0.7283324349665834
shapiro_p,2.7710654100428042e-17,2.3846979706608773e-24,2.3882506704085677e-24
boot_sharpe_mean,1.4555831301593862,,1.6172189118196325
boot_sharpe_lo,0.6115005884557548,,0.7957960595544404
boot_sharpe_hi,2.268243376477176,,2.4246092953026364
